x (m),y (m),Cluster,Angle_Rad
0.0,0.0,-2,
0.0,1.5748031496062992e-09,-2,
0.0,3.1496062992125984e-09,-2,
0.0,4.724409448818897e-09,-2,
0.0,6.299212598425197e-09,-2,
0.0,7.874015748031496e-09,-2,
0.0,9.448818897637795e-09,-2,
0.0,1.1023622047244095e-08,-2,
0.0,1.2598425196850394e-08,-2,
0.0,1.4173228346456692e-08,-2,
0.0,1.5748031496062992e-08,-2,
0.0,1.7322834645669293e-08,-2,
0.0,1.889763779527559e-08,-2,
0.0,2.047244094488189e-08,-2,
0.0,2.204724409448819e-08,-2,
0.0,2.3622047244094487e-08,-2,
0.0,2.5196850393700787e-08,-2,
0.0,2.6771653543307087e-08,-2,
0.0,2.8346456692913384e-08,-2,
0.0,2.9921259842519685e-08,-2,
0.0,3.1496062992125985e-08,-2,
0.0,3.3070866141732285e-08,-2,
0.0,3.4645669291338585e-08,-2,
0.0,3.622047244094488e-08,-2,
0.0,3.779527559055118e-08,-2,
0.0,3.937007874015748e-08,-2,
0.0,4.094488188976378e-08,-2,
0.0,4.251968503937008e-08,-2,
0.0,4.409448818897638e-08,-2,
0.0,4.5669291338582674e-08,-2,
0.0,4.7244094488188974e-08,-2,
0.0,4.8818897637795274e-08,-2,
0.0,5.0393700787401574e-08,-2,
0.0,5.1968503937007875e-08,-2,
0.0,5.3543307086614175e-08,-2,
0.0,5.5118110236220475e-08,-2,
0.0,5.669291338582677e-08,-2,
0.0,5.826771653543307e-08,-2,
0.0,5.984251968503937e-08,-2,
0.0,6.141732283464566e-08,-2,
0.0,6.299212598425197e-08,-2,
0.0,6.456692913385826e-08,-2,
0.0,6.614173228346457e-08,-2,
0.0,6.771653543307086e-08,-2,
0.0,6.929133858267717e-08,-2,
0.0,7.086614173228346e-08,-2,
0.0,7.244094488188976e-08,-2,
0.0,7.401574803149606e-08,-2,
0.0,7.559055118110236e-08,-2,
0.0,7.716535433070867e-08,-2,
0.0,7.874015748031496e-08,-2,
0.0,8.031496062992127e-08,-2,
0.0,8.188976377952756e-08,-2,
0.0,8.346456692913385e-08,-2,
0.0,8.503937007874016e-08,-2,
0.0,8.661417322834645e-08,-2,
0.0,8.818897637795276e-08,1,0.0
0.0,8.976377952755905e-08,1,0.0
0.0,9.133858267716535e-08,1,0.0
0.0,9.291338582677165e-08,1,0.0
0.0,9.448818897637795e-08,1,0.0
0.0,9.606299212598425e-08,1,0.0
0.0,9.763779527559055e-08,1,0.0
0.0,9.921259842519686e-08,1,0.0
0.0,1.0078740157480315e-07,1,0.0
0.0,1.0236220472440944e-07,2,0.7853981633974483
0.0,1.0393700787401575e-07,2,0.7853981633974483
0.0,1.0551181102362204e-07,2,0.7853981633974483
0.0,1.0708661417322835e-07,2,0.7853981633974483
0.0,1.0866141732283464e-07,2,0.7853981633974483
0.0,1.1023622047244095e-07,2,0.7853981633974483
0.0,1.1181102362204724e-07,2,0.7853981633974483
0.0,1.1338582677165354e-07,-2,
0.0,1.1496062992125984e-07,-2,
0.0,1.1653543307086614e-07,-2,
0.0,1.1811023622047244e-07,-2,
0.0,1.1968503937007874e-07,-2,
0.0,1.2125984251968505e-07,-2,
0.0,1.2283464566929133e-07,-2,
0.0,1.2440944881889763e-07,-2,
0.0,1.2598425196850394e-07,-2,
0.0,1.2755905511811025e-07,-2,
